[Pivot Last Slice Random]: 6, 7, 5, 6, 6, 6, 7, 5, 7, 6, 7, 7, 6, 6, 6, 7, 6, 7, 6, 6, 7, 6, 7, 6, 6, 7, 6, 7, 6, 7
[Pivot Last Slice Random]: 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512
[Pivot Last Slice Inverse]: 1441, 1447, 1479, 1411, 1450, 1435, 1435, 1433, 1434, 1437, 1461, 1446, 1440, 1466, 1456, 1508, 1494, 1615, 1449, 1446, 1449, 1451, 1444, 1453, 1453, 1449, 1442, 1465, 1414, 1430
[Pivot Last Slice Inverse]: 512, 512, 512, 512, 512, 520, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 520, 512, 512, 512
[Pivot Last Slice Nearly]: 1754, 1753, 1765, 1769, 1752, 1771, 1845, 1792, 1757, 1794, 1753, 1845, 1782, 1793, 1764, 1771, 1742, 1768, 1778, 1778, 1762, 1844, 1764, 1893, 1757, 1770, 1762, 1769, 1778, 1791
[Pivot Last Slice Nearly]: 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 520, 512, 512, 512, 512, 512, 512, 512, 512
[Pivot Last Slice Block]: 756, 618, 289, 294, 507, 291, 406, 510, 620, 481, 221, 539, 337, 283, 249, 690, 680, 244, 254, 197, 546, 336, 485, 538, 543, 465, 237, 453, 177, 538
[Pivot Last Slice Block]: 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1033, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025
[Pivot Random Slice Random]: 6, 8, 7, 9, 5, 11, 6, 9, 8, 8, 10, 8, 10, 6, 10, 8, 7, 9, 8, 10, 6, 9, 8, 13, 10, 6, 12, 10, 9, 15
[Pivot Random Slice Random]: 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512
[Pivot Random Slice Inverse]: 798, 349, 353, 485, 330, 228, 512, 56, 543, 217, 529, 1140, 566, 148, 1044, 297, 916, 238, 305, 763, 71, 21, 713, 890, 1386, 307, 801, 516, 135, 518
[Pivot Random Slice Inverse]: 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 528, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512
[Pivot Random Slice Nearly]: 625, 1710, 1620, 627, 1313, 664, 1179, 655, 1193, 1453, 922, 1116, 1205, 644, 620, 650, 1473, 605, 606, 658, 1700, 747, 604, 1106, 604, 644, 1480, 858, 1504, 671
[Pivot Random Slice Nearly]: 512, 512, 512, 512, 512, 512, 512, 512, 512, 520, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512
[Pivot Random Slice Block]: 242, 115, 103, 243, 268, 349, 316, 161, 175, 137, 303, 225, 133, 177, 425, 163, 334, 176, 267, 234, 226, 150, 191, 187, 174, 150, 113, 275, 198, 279
[Pivot Random Slice Block]: 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1051, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025, 1025
